"","X","months_as_customer","policy_state","policy_csl","policy_deductable","policy_annual_premium","umbrella_limit","insured_sex","insured_education_level","insured_occupation","insured_hobbies","insured_relationship","capital_gains","capital_loss","incident_type","collision_type","incident_severity","authorities_contacted","incident_state","number_of_vehicles_involved","property_damage","bodily_injuries","witnesses","police_report_available","vehicle_claim","auto_make","auto_model","fraud_reported","z_of_months_as_customer"
"1",1,328,"OH","250/500",1000,1406.91,0,"2","MD","craft-repair","sleeping","husband",53300,0,"Single Vehicle Collision","Side Collision","Major Damage","Police","SC",1,"YES",1,2,"YES",52080,"Saab","92x",1,1.07760037559749
"2",2,228,"IN","250/500",2000,1197.22,5000000,"2","MD","machine-op-inspct","reading","other-relative",0,0,"Vehicle Theft",NA,"Minor Damage","Police","VA",1,NA,0,0,NA,3510,"Mercedes","E400",1,0.208890078129221
"3",3,134,"OH","100/300",2000,1413.14,5000000,"1","PhD","sales","board-games","own-child",35100,0,"Multi-vehicle Collision","Rear Collision","Minor Damage","Police","NY",3,"NO",2,3,"NO",23100,"Dodge","RAM",0,-0.607697601490955
"4",4,256,"IL","250/500",2000,1415.74,6000000,"1","PhD","armed-forces","board-games","unmarried",48900,-62400,"Single Vehicle Collision","Front Collision","Major Damage","Police","OH",1,NA,1,2,"NO",50720,"Chevrolet","Tahoe",1,0.452128961420337
"5",5,228,"IL","500/1000",1000,1583.91,6000000,"2","Associate","sales","board-games","unmarried",66000,-46000,"Vehicle Theft",NA,"Minor Damage","None","NY",1,"NO",0,1,"NO",4550,"Accura","RSX",0,0.208890078129221
"6",6,256,"OH","250/500",1000,1351.1,0,"1","PhD","tech-support","bungie-jumping","unmarried",0,0,"Multi-vehicle Collision","Rear Collision","Major Damage","Fire","SC",3,"NO",0,2,"NO",51280,"Saab","95",1,0.452128961420337
"7",7,137,"IN","250/500",1000,1333.35,0,"2","PhD","prof-specialty","board-games","husband",0,-77000,"Multi-vehicle Collision","Front Collision","Minor Damage","Police","NY",3,NA,0,0,NA,50050,"Nissan","Pathfinder",0,-0.581636292566907
"8",8,165,"IL","100/300",1000,1137.03,0,"2","Associate","tech-support","base-jumping","unmarried",0,0,"Multi-vehicle Collision","Front Collision","Total Loss","Police","VA",3,NA,2,2,"YES",32830,"Audi","A5",0,-0.338397409275791
"9",9,27,"IL","100/300",500,1442.99,0,"1","PhD","other-service","golf","own-child",0,0,"Single Vehicle Collision","Front Collision","Total Loss","Police","WV",1,"NO",1,1,"YES",22160,"Toyota","Camry",0,-1.53721761978201
"10",10,212,"IL","100/300",500,1315.68,0,"2","PhD","priv-house-serv","camping","wife",0,-39300,"Single Vehicle Collision","Rear Collision","Total Loss","Other","NC",1,"NO",2,1,NA,32900,"Saab","92x",0,0.0698964305342971
"11",11,235,"OH","100/300",500,1253.12,4000000,"1","Masters","exec-managerial","dancing","other-relative",38400,0,"Single Vehicle Collision","Front Collision","Total Loss","Police","NY",1,"YES",2,2,NA,63280,"Ford","F150",0,0.269699798952
"12",12,447,"OH","100/300",2000,1137.16,0,"1","High School","exec-managerial","skydiving","other-relative",0,-51000,"Multi-vehicle Collision","Front Collision","Major Damage","Fire","SC",3,"YES",1,2,"YES",79560,"Audi","A3",0,2.11136562958474
"13",13,60,"OH","500/1000",500,1215.36,3000000,"2","MD","protective-serv","reading","wife",0,0,"Single Vehicle Collision","Rear Collision","Total Loss","Ambulance","SC",1,"YES",1,0,"NO",42390,"Saab","95",0,-1.25054322161748
"14",14,121,"OH","100/300",1000,936.61,0,"1","MD","armed-forces","bungie-jumping","wife",52800,-32800,"Parked Car",NA,"Minor Damage","None","SC",1,"NO",1,1,"NO",5040,"Toyota","Highlander",0,-0.720629940161831
"15",15,180,"OH","250/500",2000,1301.13,0,"1","College","machine-op-inspct","board-games","not-in-family",41300,-55500,"Single Vehicle Collision","Rear Collision","Total Loss","Police","SC",1,"NO",0,2,"YES",33600,"Dodge","Neon",1,-0.20809086465555
"16",16,473,"IN","100/300",2000,1131.4,0,"1","MD","transport-moving","movies","other-relative",55700,0,"Multi-vehicle Collision","Side Collision","Major Damage","Other","WV",4,"YES",0,0,"NO",42080,"Accura","MDX",1,2.33723030692649
"17",17,70,"OH","500/1000",1000,1199.44,5000000,"2","College","machine-op-inspct","hiking","own-child",63600,0,"Multi-vehicle Collision","Rear Collision","Major Damage","Other","NY",3,NA,1,2,"YES",40530,"Nissan","Maxima",0,-1.16367219187065
"18",18,140,"IN","500/1000",500,708.64,6000000,"2","High School","machine-op-inspct","reading","unmarried",53500,0,"Single Vehicle Collision","Side Collision","Total Loss","Police","WV",1,"NO",0,2,"YES",56640,"Suburu","Legacy",0,-0.555574983642859
"19",19,160,"OH","500/1000",500,1374.22,0,"1","MD","craft-repair","yachting","other-relative",45500,-37800,"Single Vehicle Collision","Side Collision","Total Loss","Other","NY",1,"YES",1,0,"NO",53040,"Accura","TL",0,-0.381832924149205
"20",20,196,"IN","500/1000",2000,1475.73,0,"1","High School","handlers-cleaners","camping","own-child",57000,-27300,"Multi-vehicle Collision","Side Collision","Major Damage","Police","VA",3,NA,2,0,"NO",48320,"Nissan","Pathfinder",0,-0.0690972170606265
"21",21,460,"IN","250/500",1000,1187.96,4000000,"2","JD","other-service","bungie-jumping","own-child",0,0,"Multi-vehicle Collision","Rear Collision","Minor Damage","Police","NY",3,"NO",1,0,NA,41920,"Suburu","Impreza",0,2.22429796825561
"22",22,217,"IL","500/1000",2000,875.15,0,"1","Associate","machine-op-inspct","skydiving","own-child",46700,0,"Multi-vehicle Collision","Side Collision","Total Loss","Police","SC",3,NA,1,2,NA,33110,"Accura","RSX",0,0.113331945407711
"23",23,370,"IL","100/300",2000,972.18,0,"2","High School","prof-specialty","paintball","other-relative",72700,-68200,"Multi-vehicle Collision","Rear Collision","Major Damage","Ambulance","SC",3,"NO",0,0,"YES",47680,"Suburu","Forrestor",1,1.44245870053417
"24",24,413,"IN","100/300",2000,1268.79,0,"2","MD","priv-house-serv","chess","own-child",0,-31000,"Single Vehicle Collision","Front Collision","Total Loss","Ambulance","WV",1,NA,2,2,NA,73620,"Dodge","RAM",1,1.81600412844553
"25",25,237,"IN","100/300",1000,883.31,0,"2","College","craft-repair","kayaking","husband",0,-53500,"Single Vehicle Collision","Rear Collision","Minor Damage","Other","VA",1,"NO",1,3,"NO",56640,"Ford","Escape",0,0.287074004901365
"26",26,8,"OH","100/300",2000,1266.92,0,"2","Masters","sales","polo","own-child",0,0,"Multi-vehicle Collision","Rear Collision","Major Damage","Other","OH",3,"NO",1,3,"YES",44000,"Ford","Escape",1,-1.70227257630098
"27",27,257,"IN","100/300",2000,1322.1,0,"2","High School","prof-specialty","golf","own-child",0,-29200,"Parked Car",NA,"Minor Damage","Police","PA",1,"YES",1,3,"YES",6560,"Toyota","Camry",0,0.46081606439502
"28",28,202,"IN","100/300",500,848.07,3000000,"2","JD","exec-managerial","chess","not-in-family",31000,-30200,"Vehicle Theft",NA,"Minor Damage","None","VA",1,"YES",2,1,NA,4160,"Suburu","Forrestor",1,-0.0169745992125301
"29",29,224,"OH","100/300",2000,1291.7,0,"1","JD","sales","kayaking","not-in-family",0,-55600,"Single Vehicle Collision","Side Collision","Minor Damage","Other","SC",1,"NO",1,0,"YES",46560,"Dodge","Neon",0,0.17414166623049
"30",30,241,"IL","500/1000",2000,1104.5,0,"1","PhD","machine-op-inspct","basketball","unmarried",0,0,"Single Vehicle Collision","Rear Collision","Minor Damage","Police","SC",1,"NO",2,2,"NO",63450,"Accura","TL",0,0.321822416800096
"31",31,64,"IL","250/500",1000,954.16,0,"2","Masters","prof-specialty","video-games","husband",53200,0,"Multi-vehicle Collision","Side Collision","Major Damage","Ambulance","SC",4,"NO",0,0,NA,50400,"Toyota","Corolla",0,-1.21579480971875
"32",32,166,"IL","100/300",2000,1337.28,8000000,"2","JD","craft-repair","reading","husband",27500,0,"Multi-vehicle Collision","Side Collision","Major Damage","Police","WV",3,"NO",2,2,NA,52220,"Ford","F150",1,-0.329710306301108
"33",33,155,"IL","500/1000",1000,1088.34,0,"1","Associate","adm-clerical","yachting","other-relative",81100,0,"Multi-vehicle Collision","Front Collision","Total Loss","Police","NY",3,"YES",2,3,"NO",23170,"BMW","3 Series",0,-0.425268439022618
"34",34,114,"IL","100/300",1000,1558.29,0,"2","High School","farming-fishing","video-games","wife",51400,-64000,"Multi-vehicle Collision","Front Collision","Major Damage","Ambulance","NY",3,"NO",1,2,NA,49070,"Suburu","Impreza",0,-0.78143966098461
"35",35,149,"IL","500/1000",500,1415.68,0,"2","PhD","prof-specialty","yachting","own-child",0,0,"Single Vehicle Collision","Side Collision","Total Loss","Fire","WV",1,"YES",0,1,"YES",48600,"Audi","A3",0,-0.477391056870715
"36",36,147,"OH","100/300",1000,1334.15,6000000,"2","High School","craft-repair","reading","not-in-family",53300,-49200,"Single Vehicle Collision","Front Collision","Major Damage","Other","WV",1,"YES",2,0,"YES",37170,"Mercedes","C300",1,-0.49476526282008
"37",37,62,"IL","100/300",1000,988.45,0,"1","Masters","protective-serv","camping","unmarried",0,0,"Single Vehicle Collision","Rear Collision","Total Loss","Police","NY",1,NA,1,1,"YES",48160,"Suburu","Forrestor",1,-1.23316901566811
"38",38,289,"IL","500/1000",2000,1222.48,0,"1","JD","priv-house-serv","golf","unmarried",0,0,"Parked Car",NA,"Minor Damage","None","WV",1,"NO",1,1,"YES",3280,"Suburu","Legacy",0,0.738803359584867
"39",39,431,"IN","500/1000",2000,1155.55,0,"1","MD","craft-repair","bungie-jumping","unmarried",65700,0,"Multi-vehicle Collision","Rear Collision","Major Damage","Police","NY",3,NA,2,0,NA,43610,"Jeep","Wrangler",0,1.97237198198981
"40",40,199,"IN","250/500",500,1262.08,0,"2","JD","tech-support","video-games","wife",48500,0,"Single Vehicle Collision","Front Collision","Major Damage","Ambulance","NC",1,NA,0,3,"NO",38290,"Nissan","Pathfinder",1,-0.0430359081365783
